"id","user_id","city_id","service_id","title","description","price","image_1","image_2","image_3","featured","active","address","landmark","views","created_at","updated_at","name","category_id"
"1","3","761","1","Ekus Communitions Limited","Ekus Communitions Limited is located in Gusau, Anka, Zamfara. Our company is mainly into Manufacturing,Mobile Phone,Recharge Card Dealers and offering Mobile Phones.
 If you have any questions, do feel free to contact us on the details in our profile or view our website for more details.","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","38, Kaura Namoda Road, Gusau, Anka, Zamfara, Nigeria","nan","25","2019-09-09 16:23:33","2024-08-07 16:17:09","Manufacturing,Mobile Phone,Recharge Card Dealers","1"
"4","4","755","6877","Thankgod Interiors","Thankgod Interiors is located in Gusau, Zamfara. Our company is mainly offering Carpet, Center Rug. If you have any questions, do feel free to contact us on the details in our profile or view our website for more details.","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","1, Old Market Road, Gada Biyu, Gusau, Zamfara, Nigeria","nan","53","2019-09-09 16:23:33","2025-02-06 01:13:42","Interior Decor","596"
"5","5","755","3","Diamond Bank Plc","Diamond Bank Plc is a large financial services provider in West Africa office in Sani Aabacha Way, Gusau, Zamfara, Nigeria. Our mission is to providing value added solutions through professional and high motivated people and provides excellent financial performance. Our services are individual banking and e banking, loans, deposit accounts, finance to corporates and SME’s etc.","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","160, Sani Aabacha Way, Gada Biyu, Gusau, Zamfara, Nigeria","nan","5","2019-09-09 16:23:33","2024-04-06 11:28:28","ATMs,Banking And Finance,Banks","3"
"10","8","755","5184","Gusau 1-7 Furniture And Carpets","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","Zaria Road Gada Biyu Gusau Zamfara Nigeria","nan","23","2019-09-09 16:23:34","2024-12-21 15:25:02","Furniture & Fittings,Interior Furniture","13"
"11","9","755","6","Systemtech Services Limited","To be a recognized leader in the ICT industry by creating a true spirit of professionalism within Systemtech Group, with emphasis on integrity, team work, responsive customer relations, delivery of world class ICT Solutions and Services, and an equitable return for our stakeholders.","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","20, Sanni Abacha Road, Gada Biyu, Gusau, Zamfara, Nigeria","Zamfara Shopping Complex","3","2019-09-09 16:23:34","2024-03-18 19:54:42","Computer Accessories,computer hardware,Computer Repairs & Services","5"
"15","12","755","7","Gusau Medical Clinics","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1"," Sanni Abacha House Near Government House Gada Biyu Gusau Zamfara Nigeria","nan","1","2019-09-09 16:23:34","2022-10-15 07:45:20","Healthcare,Hospitals","6"
"17","14","755","8","Ploy Medical Diagnostic Centre","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","26, Primier Road, Doduwada, Gusau, Zamfara, Nigeria","nan","1","2019-09-09 16:23:34","2022-10-15 07:45:24","Diagnostic Centres,Healthcare","7"
"18","15","755","7","Arewa Hospital","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","5, Sani Abacha Way, Gada Biyu, Gusau, Zamfara, Nigeria","nan","8","2019-09-09 16:23:34","2024-08-06 11:10:38","Healthcare,Hospitals","6"
"20","17","755","9","Rama Hospital","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1","15, Ahmadu Bello Way, Gada Biyu, Gusau, Zamfara, Nigeria","nan","3","2019-09-09 16:23:34","2024-08-06 11:18:31","Diagnostic Centres,Healthcare,Hospitals","7"
"23","18","755","7","Daula Hospital","nan","1000.00","unavailable.png","unavailable.png","unavailable.png","0","1"," Off Kaura Namoda Way Lebin-Lebin Residential Layout Gusau Zamfara Nigeria","nan","1","2019-09-09 16:23:35","2022-10-15 07:45:33","Healthcare,Hospitals","6"
